file,preferred_device,headset_plugged,speaker_dolby,speaker_enhance,headset_dolby,headset_enhance,line_count,size_bytes,sha256,unknown_tokens
RtHDDump_dual_h_dolby_enhance_spk_dolby.txt,headset,True,True,False,False,True,4598,408321,e9134cc1331a6890a0e3b1b5df51270695df78b799dc595ac74fcfed03bc5cbf,
RtHDDump_dual_h_dolby_enhance_spk_dolby_enhance.txt,headset,True,True,True,False,True,4597,408250,cd5aaf15793b5aa00933379d82756de678ad126585a5c582996753445f15226e,
RtHDDump_dual_h_dolby_enhance_spk_enhance.txt,headset,True,True,True,False,True,4597,407815,295606889f692f2f85efcf18b95bc9c0e455aaa0643706457943891c7bcbf524,
RtHDDump_dual_h_dolby_spk_dolby.txt,headset,True,True,False,False,False,4588,405972,874a7c8ed5b059f61a56c0e53aa393cc9c27b8bf4345fd7234bcc4c4ac6a9dd8,
RtHDDump_dual_h_dolby_spk_dolby_enhance.txt,headset,True,True,True,False,False,4598,408321,b8130f8a9a5b333fb2bfe489ac634b10c2613b8f37ecb6c057d8ef273791d1e6,
RtHDDump_dual_h_dolby_spk_enhance.txt,headset,True,True,True,False,False,4587,405466,ce08657e7bc1a9ce682bf7bd68aba675dcab64c31764dc3f5c74ec24d7c6d76c,
RtHDDump_dual_h_enhance_spk_dolby.txt,headset,True,True,False,False,True,4593,406726,3221a32fa090cfc1ca3b7ce066af742f3592238cbd8a90c111ab1b0fc3126384,
RtHDDump_dual_h_enhance_spk_dolby_enhance.txt,headset,True,True,True,False,True,4598,407915,e61b620938975310bd322703da676eaee14ddf166a6026994ad90cba8f28620e,
RtHDDump_dual_h_enhance_spk_enhance.txt,headset,True,False,True,False,True,4598,407480,fef218947d0e5fb28450a121d70011488ce8e423e53b17a763b0ae19b07dedbe,
RtHDDump_dual_h_spk_dolby_enhance.txt,headset,True,True,True,False,False,4598,407886,45c081237f31721a0b29956173c29dec24b885463d745026d60927791b586514,
RtHDDump_dual_spk_dolbyh_enhance_h_dolbyh_enhance.txt,speaker,True,False,True,True,True,4594,407515,ca30eead91b243fd411602deb6a4ad59fded36bceccaa106b42ebcb1f9bebf1b,
RtHDDump_dual_spk_dolbyh_enhance_h_enhance.txt,speaker,True,False,True,True,True,4600,408226,b43a88b8e6312eeaf56c1b40770f8f8f01b389e1f03ad2da8d9faefaddb877be,
RtHDDump_dual_spk_dolbyh_h_dolbyh_enhance.txt,speaker,True,False,False,True,True,4595,407586,79c80955b3e03c7d3bbbed95ec1a4773f85ad14d2c29beea53fdec860909abcf,
RtHDDump_dual_spk_dolbys_enhance_h_dolbyh.txt,speaker,True,True,True,True,False,4593,407275,e83063feccf68574764cc4e18fe394000dd8434b80c6d0e11ce8ccd8485d3256,
RtHDDump_dual_spk_dolbys_enhance_h_dolbyh_enhance.txt,speaker,True,True,True,True,True,3581,288283,b1b763c1b931331d1d4f5fa7bea340a1ca7db0b711ce0f94fbbc6fe8225faed9,
RtHDDump_dual_spk_dolbys_enhance_h_dolbys.txt,speaker,True,True,True,False,False,4593,407389,d779530d80fa7de800239f81c59aaed29b8bcc936e42cd1a3bf58fa6ba06bfa7,
RtHDDump_dual_spk_dolbys_enhance_h_dolbys_enhance.txt,speaker,True,True,True,False,True,4594,407629,cf387f716df42f4bc91cc886e228ee7cbb425f8970690eda8afc4883dae5c181,
RtHDDump_dual_spk_dolbys_enhance_h_enhance.txt,speaker,True,True,True,False,True,4600,408340,215340e5608965f571538270c954a78f51d0220111aa62b603b331345986e2f3,
RtHDDump_dual_spk_dolbys_h_dolbyh_enhance.txt,speaker,True,True,False,True,True,4595,407700,73ecef30440951276c645723d6274c7b72c501c9e391beec570076947b0798de,
RtHDDump_dual_spk_enhance_h_dolbyh_enhance.txt,speaker,True,False,True,True,True,4600,408226,3ac73ba81b841212a904077abc5cb5296abab70f22cbfcd0569c0ea51e1cc891,
RtHDDump_dual_spk_enhance_h_dolbys_enhance.txt,speaker,True,True,True,False,True,4600,408340,2f9337d0fe0a2359295c72c3bd7d83ca48d8f0b9ef83f6aa98de4bd95dbe73eb,
RtHDDump_dual_spk_enhance_h_enhance.txt,speaker,True,False,True,False,True,4594,406645,31cfaca99fb62212d1039fc5d26373dc37fa37553c73496f074329fa94784cc7,
RtHDDump_dual_spk_h_dolbyh_enhance.txt,speaker,True,False,False,True,True,4595,407151,21db530ab353007feadd880f32cf680fc1dc74274726389294c43089df198359,
RtHDDump_spk.txt,speaker,False,False,False,False,False,4483,386157,1712767d6cc44acf2b75b06598105e4e357398139a228dc91ff89b321e030b38,
RtHDDump_spk_dolby.txt,speaker,False,True,False,False,False,4483,386592,23063a3c119df3591703f7f1ee931262e93212adf4c97c123f02453832f0cdfa,
RtHDDump_spk_dolby_enhance.txt,speaker,False,True,True,False,False,4480,386411,42610b56494691e8d0bfac7cf322facc2033f87e9f43ecc2f5d0971bff4645ed,
RtHDDump_spk_enhance.txt,speaker,False,False,True,False,False,4482,386086,221817125da5a2d30184e8cf8eaf639f4a496dffce76bc7db373e8576565029a,
